np,interval,try,pi,error,time
1,10,1,3.1424259850010987,0.0008333314113056,0.0000097780000000
1,10,2,3.1424259850010987,0.0008333314113056,0.0000075340000000
1,10,3,3.1424259850010987,0.0008333314113056,0.0000073840000000
1,10,4,3.1424259850010987,0.0008333314113056,0.0000073530000000
1,10,5,3.1424259850010987,0.0008333314113056,0.0000071130000000
1,100,1,3.1416009869231254,0.0000083333333323,0.0000075740000000
1,100,2,3.1416009869231254,0.0000083333333323,0.0000076750000000
1,100,3,3.1416009869231254,0.0000083333333323,0.0000217710000000
1,100,4,3.1416009869231254,0.0000083333333323,0.0000074940000000
1,100,5,3.1416009869231254,0.0000083333333323,0.0000078450000000
1,1000,1,3.1415927369231227,0.0000000833333296,0.0000115920000000
1,1000,2,3.1415927369231227,0.0000000833333296,0.0000113810000000
1,1000,3,3.1415927369231227,0.0000000833333296,0.0000118520000000
1,1000,4,3.1415927369231227,0.0000000833333296,0.0000118730000000
1,1000,5,3.1415927369231227,0.0000000833333296,0.0000116910000000
2,10,1,3.1424259850010983,0.0008333314113051,0.0001058890000000
2,10,2,3.1424259850010983,0.0008333314113051,0.0000253880000000
2,10,3,3.1424259850010983,0.0008333314113051,0.0000270610000000
2,10,4,3.1424259850010983,0.0008333314113051,0.0000232030000000
2,10,5,3.1424259850010983,0.0008333314113051,0.0000259290000000
2,100,1,3.1416009869231241,0.0000083333333309,0.0000259980000000
2,100,2,3.1416009869231241,0.0000083333333309,0.0000234540000000
2,100,3,3.1416009869231241,0.0000083333333309,0.0000237740000000
2,100,4,3.1416009869231241,0.0000083333333309,0.0000232430000000
2,100,5,3.1416009869231241,0.0000083333333309,0.0000464470000000
2,1000,1,3.1415927369231254,0.0000000833333322,0.0000256080000000
2,1000,2,3.1415927369231254,0.0000000833333322,0.0000290250000000
2,1000,3,3.1415927369231254,0.0000000833333322,0.0000286340000000
2,1000,4,3.1415927369231254,0.0000000833333322,0.0000252280000000
2,1000,5,3.1415927369231254,0.0000000833333322,0.0000401450000000
3,10,1,3.1424259850010983,0.0008333314113051,0.0000507350000000
3,10,2,3.1424259850010983,0.0008333314113051,0.0000432520000000
3,10,3,3.1424259850010983,0.0008333314113051,0.0000451250000000
3,10,4,3.1424259850010983,0.0008333314113051,0.0000636090000000
3,10,5,3.1424259850010983,0.0008333314113051,0.0000467180000000
3,100,1,3.1416009869231254,0.0000083333333323,0.0000857310000000
3,100,2,3.1416009869231254,0.0000083333333323,0.0000808220000000
3,100,3,3.1416009869231254,0.0000083333333323,0.0000448440000000
3,100,4,3.1416009869231254,0.0000083333333323,0.0000387630000000
3,100,5,3.1416009869231254,0.0000083333333323,0.0001081530000000
3,1000,1,3.1415927369231262,0.0000000833333331,0.0000419890000000
3,1000,2,3.1415927369231262,0.0000000833333331,0.0000446740000000
3,1000,3,3.1415927369231262,0.0000000833333331,0.0000473290000000
3,1000,4,3.1415927369231262,0.0000000833333331,0.0000705520000000
3,1000,5,3.1415927369231262,0.0000000833333331,0.0000404850000000
